I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_25_753.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_25_753.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_25_753.jpg,0,0,0,0.2268689
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_25_823.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_25_823.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_25_823.jpg,0,0,0,0.225501
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_25_893.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_25_893.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_25_893.jpg,0,0,0,0.2236899
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_25_965.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_25_965.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_25_965.jpg,0,0,0,0.2223411
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_26_032.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_26_032.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_26_032.jpg,0,0,0,0.01893581
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_26_103.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_26_103.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_26_103.jpg,0,0.1290192,0,0.08329996
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_26_171.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_26_171.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_26_171.jpg,0,0.3740046,0,0.3619862
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_26_242.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_26_242.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_26_242.jpg,0,0.5578482,0,0.6413854
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_26_313.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_26_313.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_26_313.jpg,0,0.7988676,0,1.288065
I:\DRIVE_DATA\IMG\center_2023_04_06_18_49_26_382.jpg,I:\DRIVE_DATA\IMG\left_2023_04_06_18_49_26_382.jpg,I:\DRIVE_DATA\IMG\right_2023_04_06_18_49_26_382.jpg,0,0.9684378,0,1.937377
